ID,class,category,subcategory,order,entry,name
C20030,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C20030,Dermorphin	Agonist
C18010,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C18010,Deltorphin A	Agonist
C18095,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C18095,Deltorphin B	Agonist
C18097,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C18097,Deltorphin C	Agonist
C20165,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C20165,DSLET	Agonist
C11684,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C11684,Met-enkephalin	Agonist
C16041,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C16041,Leu-enkephalin	Agonist
C02210,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C02210,beta-Endorphin	Agonist
C11793,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C11793,Etorphine	Agonist
C08014,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C08014,Levorphanol	Agonist
C20166,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C20166,Naltriben	Antagonist
C18128,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C18128,Naltrindole	Antagonist
C01574,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C01574,Dynorphin A	Agonist
C16135,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C16135,Dynorphin B	Agonist
C11795,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C11795,Ethylketocyclazocine	Agonist
C11793,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C11793,Etorphine	Agonist
C08014,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C08014,Levorphanol	Agonist
C18130,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C18130,Norbinaltorphimine	Antagonist
C20196,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C20196,Salvinorin A	Agonist
C20168,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C20168,(-)TAN-67	Agonist
C11796,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,kappa-opioid receptor [HSA:4986] [KO:K04214],C11796,U 50488	Agonist
C20160,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C20160,CTOP	Antagonist
C20030,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C20030,Dermorphin	Agonist
C01574,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C01574,Dynorphin	Agonist
C02210,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C02210,beta-Endorphin	Agonist
C15890,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C15890,Endomorphin-1	Agonist
C15891,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C15891,Endomorphin-2	Agonist
C16041,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C16041,Leu-enkephalin	Agonist
C11684,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C11684,MET-enkephalin	Agonist
C11793,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C11793,Etorphine	Agonist
C18127,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C18127,beta-Funaltrexamine	Antagonist
C08014,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,mu-opioid receptor [HSA:4988] [KO:K04215],C08014,Levorphanol	Agonist
C16044,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,nociceptin receptor [HSA:4987] [KO:K04216],C16044,Nociceptin	Agonist
C18365,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Oxytocin,oxytocin receptor [HSA:5021] [KO:K04229],C18365,Carbetocin	Agonist
C14127,G Protein-coupled receptors,Rhodopsin family: other receptors,Adenosine,adenosine A1 receptor [HSA:134] [KO:K04265],C14127,Acotiamide	Antagonist
C13747,G Protein-coupled receptors,Rhodopsin family: other receptors,Adenosine,adenosine A1 receptor [HSA:134] [KO:K04265],C13747,"1,7-Dimethylxanthine	Antagonist"
C13747,G Protein-coupled receptors,Rhodopsin family: other receptors,Adenosine,adenosine A2a receptor [HSA:135] [KO:K04266],C13747,"1,7-Dimethylxanthine	Antagonist"
C13747,G Protein-coupled receptors,Rhodopsin family: other receptors,Adenosine,adenosine A2b receptor [HSA:136] [KO:K04267],C13747,"1,7-Dimethylxanthine	Antagonist"
C20220,G Protein-coupled receptors,Rhodopsin family: other receptors,Cannabinoid,cannabinoid receptor 1 [HSA:1268] [KO:K04277],C20220,AM251	Antagonist
C07580,G Protein-coupled receptors,Rhodopsin family: other receptors,Cannabinoid,cannabinoid receptor 1 [HSA:1268] [KO:K04277],C07580,Cannabinol	Agonist
C06972,G Protein-coupled receptors,Rhodopsin family: other receptors,Cannabinoid,cannabinoid receptor 1 [HSA:1268] [KO:K04277],C06972,Dronabinol	Agonist
C14319,G Protein-coupled receptors,Rhodopsin family: other receptors,Cannabinoid,cannabinoid receptor 1 [HSA:1268] [KO:K04277],C14319,SR 141716	Antagonist
C06972,G Protein-coupled receptors,Rhodopsin family: other receptors,Cannabinoid,cannabinoid receptor 2 [HSA:1269] [KO:K04278],C06972,Dronabinol	Agonist
C19914,G Protein-coupled receptors,Rhodopsin family: other receptors,Lysosphingolipid and LPA (EDG),sphingosine 1-phosphate receptor 1 [HSA:1901] [KO:K04288],C19914,Myriocin	Agonist
C14777,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 1 [HSA:1241] [KO:K04296],C14777,12(S)-HETE	Agonist
C20388,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 1 [HSA:1241] [KO:K04296],C20388,12(S)-HHT	Agonist
C18171,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 1 [HSA:1241] [KO:K04296],C18171,Resolvin E1	Agonist
C14777,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 2 [HSA:56413] [KO:K04297],C14777,12(S)-HETE	Agonist
C20388,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 2 [HSA:56413] [KO:K04297],C20388,12(S)-HHT	Agonist
C18171,G Protein-coupled receptors,Rhodopsin family: other receptors,Leukotriene B4 receptor,leukotriene B4 receptor 2 [HSA:56413] [KO:K04297],C18171,Resolvin E1	Agonist
C13856,G Protein-coupled receptors,Rhodopsin family: other receptors,Lysophosphatidylinositol,G protein-coupled receptor 55 [HSA:9290] [KO:K08413],C13856,2-Arachidonoylglycerol	Agonist
C16512,G Protein-coupled receptors,Rhodopsin family: other receptors,Lysophosphatidylinositol,G protein-coupled receptor 55 [HSA:9290] [KO:K08413],C16512,Palmitoylethanolamide	Agonist
C00186,G Protein-coupled receptors,Rhodopsin family: other receptors,Lactate,G protein-coupled receptor 81 [HSA:27198] [KO:K08401],C00186,(S)-Lactate	Agonist
C06314,G Protein-coupled receptors,Rhodopsin family: other receptors,Cysteinyl leukotriene,cysteinyl leukotriene receptor 1 [HSA:10800] [KO:K04322],C06314,Lipoxin A4	Antagonist
C06315,G Protein-coupled receptors,Rhodopsin family: other receptors,Cysteinyl leukotriene,cysteinyl leukotriene receptor 1 [HSA:10800] [KO:K04322],C06315,Lipoxin B4	Antagonist
C15894,G Protein-coupled receptors,Secretin family,Glucagon,glucagon-like peptide 1 receptor [HSA:2740] [KO:K04581],C15894,Exendin-4	Agonist
C19415,G Protein-coupled receptors,Metabotropic glutamate family,Taste receptors (T1R),taste receptor type 1 member 2 [HSA:80834] [KO:K04625],C19415,Dulcin	Agonist
C19415,G Protein-coupled receptors,Metabotropic glutamate family,Taste receptors (T1R),taste receptor type 1 member 3 [HSA:80835] [KO:K04626],C19415,Dulcin	Agonist
C07058,Nuclear receptors,Thyroid hormone like receptors,Retinoic acid receptor,"NR1B; nuclear receptor, subfamily 1, group B [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]",C07058,13-cis-Retinoic acid	Agonist
C15493,Nuclear receptors,Thyroid hormone like receptors,Retinoic acid receptor,"NR1B; nuclear receptor, subfamily 1, group B [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]",C15493,9-cis-Retinoic acid	Agonist
C00473,Nuclear receptors,Thyroid hormone like receptors,Retinoic acid receptor,"NR1B; nuclear receptor, subfamily 1, group B [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]",C00473,Retinol	Agonist
C01607,Nuclear receptors,Thyroid hormone like receptors,Peroxisome proliferator-activated receptor,"nuclear receptor, subfamily 1, group C, member 1 [HSA:5465] [KO:K07294]",C01607,Phytanate	Agonist
C13550,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C13550,Cerebrosterol	Agonist
C15610,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C15610,"Cholest-5-ene-3beta,26-diol	Agonist"
C15632,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C15632,"24(S),25-Epoxycholesterol	Agonist"
C15631,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C15631,GW 3965	Agonist
C05502,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C05502,22(R)-Hydroxycholesterol	Agonist
C15630,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor alpha [HSA:10062] [KO:K08536],C15630,T 0901317	Agonist
C13550,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C13550,Cerebrosterol Agonist
C15610,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C15610,"Cholest-5-ene-3beta,26-diol	Agonist"
C05502,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C05502,22beta-Hydroxycholesterol
C15630,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C15630,T 0901317	Agonist
C15631,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C15631,GW 3965	Agonist
C15632,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,liver X receptor beta [HSA:7376] [KO:K08535],C15632,"24(S),25-Epoxycholesterol	Agonist"
C02528,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,farnesoid X receptor [HSA:9971] [KO:K08537],C02528,Chenodeoxycholate	Agonist
C15649,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,farnesoid X receptor [HSA:9971] [KO:K08537],C15649,Fexaramine	Agonist
C15635,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,farnesoid X receptor [HSA:9971] [KO:K08537],C15635,GW 4064	Agonist
C00477,Nuclear receptors,Thyroid hormone like receptors,Liver X receptor like receptor,ecdysone receptor [KO:K14034],C00477,Ecdysone	Agonist
C01607,Nuclear receptors,Hepatocyte nuclear factor 4 like receptors,Retinoid X receptor (RXR),retinoid receptor [HSA:6256 6257 6258] [KO:K08524 K08525 K06258],C01607,Phytanate	Agonist
C00951,Nuclear receptors,Estrogen like receptors,Estrogen receptor,"estrogen receptor 1, 2 [HSA:2099 2100] [KO:K08550 K08551]",C00951,Estradiol-17beta	Agonist
C13444,Nuclear receptors,Estrogen like receptors,Estrogen receptor,"estrogen receptor 1, 2 [HSA:2099 2100] [KO:K08550 K08551]",C13444,Estradiol benzoate	Agonist
C12729,Nuclear receptors,Estrogen like receptors,3-Ketosteroid receptor,progesterone receptor [HSA:5241] [KO:K08556],C12729,Chlormadinone acetate	Antagonist
C00535,Nuclear receptors,Estrogen like receptors,3-Ketosteroid receptor,androgen receptor [HSA:367] [KO:K08557],C00535,Testosterone	Agonist
C07017,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor alpha [HSA:2554 2555 2556 2557 2558 2559] [KO:K05175 K05176 K05177 K05178 K05179 K05180],C07017,Furosemide	Antagonist
C09364,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C09364,Bicuculline	Antagonist
C09529,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C09529,Picrotoxinin	Antagonist
C03349,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C03349,3-Aminopropanesulfonate	Agonist
C13694,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C13694,Isoguvacine	Agonist
C13693,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C13693,"4,5,6,7-Tetrahydroisoxazolo(5,4-c)pyridin-3-ol	Agonist"
C19930,Ion channels,Cys-loop superfamily,GABA-A,GABAA-receptor [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05176 K05177 K05178 K05179 K05180 K05181 K05182 K05183 K05184 K05185 K05186 K05187 K05188 K05189 K05192],C19930,tert-Butylbicyclophosphorothionate     Antagonist
C06522,Ion channels,Cys-loop superfamily,Glycine,glycine receptor alpha-1 [HSA:2741] [KO:K05193],C06522,Strychnine	Antagonist
C20037,Ion channels,Cys-loop superfamily,Acetylcholine (nicotinic),nicotinic acetylcholine receptor alpha-7 [HSA:1139] [KO:K04809],C20037,alpha-Bungarotoxin	Antagonist
C11733,Ion channels,Cys-loop superfamily,Acetylcholine (nicotinic),muscle-type nicotinic cholinergic receptor [HSA:1134 1140 1144 1145 1146] [KO:K04803 K04812 K04816 K04817 K04818],C11733,Decamethonium	Antagonist
C13683,Ion channels,Cys-loop superfamily,Acetylcholine (nicotinic),muscle-type nicotinic cholinergic receptor [HSA:1134 1140 1144 1145 1146] [KO:K04803 K04812 K04816 K04817 K04818],C13683,Histrionicotoxin	Antagonist
