title,date,analysis,platform,ID,submitter,publications,organism,organism_parts,metabolites1,metabolites2,metabolites3,metabolites4,metabolites5,metabolites6,metabolites7,metabolites8,metabolites9,metabolites10,metabolites11,metabolites12,metabolites13,metabolites14,metabolites15,metabolites16,metabolites17,metabolites18,metabolites19,metabolites20
Plasma Lipidomics for the Identification of Anticedent Memory Impairment,2014/3/9,mass spectrometry,UHPLC-Xevo G2 QTOF and UPLC-Xevo-TQ-S (Waters),MTBLS72,Howard Federoff,,Homo sapiens; blank; BAO:reference compound,blood plasma; solvent; water,acylcarnitine C16:1-OH; acylcarnitine C3; lysoPC a C18:2; PC aa C36:6; PC aa C38:0; PC aa C38:6; PC aa C40:1; PC aa C40:2; PC aa C40:6; PC ae C40:6,,,,,,,,,,,,,,,,,,,
Mining for metabolic responses to long-term salt stress: a case study on Arabidopsis thaliana Col-0 (A),2015/9/14,mass spectrometry,GC-MS,MTBLS22,Diego Sanchez; Joachim Kopka,,Arabidopsis thaliana,rosette leaf,"benzoic acid; malic acid; dodecane; L-valine; myo-inositol; L-phenylalanine; pyroglutamic acid; fumaric acid; L-glutamic acid; glycolic acid; hexatriacontane; furan-2-carboxylic acid; cysteamine; hydroxylamine; L-glyceric acid; benzyl alcohol; psicose; octadecane; succinic acid; L-asparagine; L-threonine; nicotinic acid; 3-hydroxypyridine; 4-hydroxybenzoic acid; sucrose; ethanolamine; nonadecane; D-ribitol; D-glucopyranose; alpha,alpha'-D-Trehalose; D-gluconic acid; cis-aconitic acid; raffinose; phosphoric acid; spermidine; D-sorbitol; erythronic acid; beta-maltose; pentadecane; 1,6-anhydro-beta-D-glucose; glycerol; citric acid; diethylene glycol; L-proline; putrescine; L-aspartic acid; docosane; glycine; isoleucine; dotriacontane; 2-hydroxypyridine; 1,2-propanediol; palmitic acid; lactic acid; cis-sinapic acid; 4-aminobutyric acid; stearic acid; threitol; boric acid; D-(+)-mannose; decane; D-galactose; octacosane; D-fructose; L-threonic acid; D-galactonic acid; L-dehydroascorbic acid; galactinol",,,,,,,,,,,,,,,,,,,
Genomic and lipidomic actions of nandrolone on detached rotator cuff muscle in sheep.,2017/7/14,mass spectrometry,SYNAPT G2 HDMS (Waters),MTBLS322,Martin Flück; Christoph Möhl; Junmin Hu; Endre Laczko,,Ovis aries,muscle,"(9R,13R)-1a,1b-dihomo-jasmonic acid; 2E,8Z-undecadiene-4,6-diynoic acid; 5,7-octadienoic acid; Cucujolide IX; 11-Aminoundecanoic acid; 2E,4E,6E-nonatrienal; 5,11-dodecadiynoic acid; 5,8,11-dodecatriynoic acid; alantolactone; Batatasin IV; acetone; (6S)-dehydrovomifoliol; 12-oxo-10Z-dodecenoic acid; formyl 2E,4E,6Z-decatrienoate; O-butanoyl-L-carnitine; O-octanoyl-L-carnitine; sphinganine; 13-tetradecen-2,4-diyn-1-ol; (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoic acid; 7-Hydroxyflavan; (7Z,10Z,13Z,16Z,19Z)-docosapentaenoic acid; Neoabietic acid; N-ethyl arachidonoyl amine; (-)-Obtusadiene; 17-phenyl-trinor-PGF2alpha isopropyl ester; 2,4,6,8,10-dodecapentaenal; 2-Amino-9,10-epoxy-8-oxodecanoic acid; 2-hydroxy-2-methylheptan-4-one; 4,10-undecadiynal; 5-aminopentanoic acid; 6-hydroxysphing-4E-enine; 7-methyl-3-oxooctanoic acid; 8-amino-7-oxononanoic acid; 3-hydroxybutyric acid; equol; Iridotrial; N-(3-oxododecanoyl)homoserine lactone; (-)-Ngaione; perillic acid; Sugeonyl acetate; triacetin; (2E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate; 10Z,13Z,16Z-nonadecatrienenitrile; 14,14,14-trifluoro-11E-tetradecenyl acetate; 2alpha-(3-hydroxypropyl)-1alpha,25-dihydroxy-19-norvitamin D3; 2-methoxy-4-hydroxydihydrochalcone; 3-fluoro-9,10-secocholesta-5,7,10(19)-triene; 8,9,10,11-tetrafluoro-8E,10E-dodecadien-1-ol; alpha-santonin; N-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-ethanolamine; cis-stilbene oxide; prenyl diphosphate; Linoleic acid(d4); (R)-5-diphosphomevalonic acid; parthenolide; PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z)); PE(19:0/15:0); piperitenone; PS(P-16:0/19:1(9Z)); succinic acid; Tephrowatsin E; (+)-neoisodihydrocarveol; (-)-cis-carveol; 10-hydroxy-8E-decene-2,4,6-triynoic acid; 12-chloro-dodecanoic acid; 17alpha-hydroxyprogesterone; 17-methyl-7Z-octadecenoic acid; 11,15,19-trimethyl-5Z,9Z,17Z-eicosatrienoic acid; 2E-hexene; 2-hydroxy-heptan-3-one; 2-methylheptan-4R-ol; 2S-hydroxyhexan-3-one; 3,7-dimethyl-8,11-dioxo-2E,6E,9E-dodecatrienal; 3beta-hydroxy-7-oxo-5alpha-cholan-24-oic acid; (3E)-3-nonen-2-one; equilenin; 3-oxo-4-pentenoic acid; 3R-hydroxy-pentadecanoic acid; 3Z-hexenyl 3R-hydroxybutanoate; 4,4-difluoro-1alpha-hydroxyvitamin D3; 5-ethylundecane-2,4-dione; 6Z,11Z-hexadecadien-1-ol; 8,11,14-nonadecatriynoic acid; 8-nonynoic acid; 8Z,10Z-tetradecadienal; 9-amino-decanoic acid; 9E-hexadecenyl acetate; 9-oxo-2,4,5,7-decatetraenoic acid; 2-heptenoic acid; 2-aminoadipic acid; butan-2-one; hexadecasphing-4-enine; cis,trans-hepta-2,4,6-trienoic acid; Derricin; Digitoxic acid; ethylcyclohexane; formyl 7-oxo-11E-tetradecenoate; Latia luciferin; N-(dodecanoyl)ethanolamine; N-(3-(S)-Hydroxybutyryl)homoserine lactone","N-butyryl-L-homoserine lactone; oleamide; 2-arachidonoyl-sn-glycero-3-phosphocholine; 1-hexadecanoyl-2-[(5Z,8Z,10E,12S,14Z)-12-hydroxyicosatetraenoyl]-sn-glycero-3-phosphocholine; 1-[(9Z)-hexadecenoyl]-2-acetyl-sn-glycero-3-phosphocholine; PC(20:5(5Z,8Z,11Z,14Z,17Z)/15:0); 1-hexadecyl-2-formyl-sn-glycero-3-phosphocholine; PE(15:1(9Z)/21:0); 1-linoleoyl-sn-glycero-3-phosphoethanolamine; 1-arachidonoyl-sn-glycero-3-phosphoethanolamine; PE(21:0/16:0); Penaresidin B; plastoquinol-1; Prosafrinine; Serratamic acid; tricosanedioic acid; Marasmic acid; (+-)N-(2-fluro-ethyl)-2,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine; (20R)-20-hydroxypregn-4-en-3-one; (22E)-3beta-hydroxy-5alpha-chola-7,22-dien-24-oic acid; (4E,6E,d14:2) sphingosine; (9Me,4E,8E,10E-d19:3)sphingosine; (S)-dihydrolipoic acid; 1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine; 10E,12E-tetradecadiene-4,6-diynoic acid; 10-fluoro-capric acid; 10-Nitro-9Z,12Z-octadecadienoic acid; (9E)-10-nitrooctadecenoic acid; 11-cis-retinal; 12,13-dihydroxy-11-methoxy-9-octadecenoic acid; 12-oxo-5E,8E,10Z-dodecatrienoic acid; 14-keto pentadecanoic acid; 6Z,9Z,12Z,15Z-hexadecatetraenoic acid; 16-hydroxy-9E-hexadecenoic acid; 18-fluoro-9Z,12Z-octadecadienoic acid; 2,4,6-octatrienal; 2,8-decadiene-4,6-diyn-1-al; 24R-cholest-5-en-3beta,7-alpha,24-triol; 24-vinyloxy-cholest-5,23Z-dien-3beta-ol; 2-amino-4-oxopentanoic acid; 2E-decenedioic acid; 2-tridecene-4,7-diynal; 3beta,6alpha,7alpha-trihydroxy-5beta-cholan-24-oic acid; 3-hydroxy-5beta-pregnan-20-one; 3-methyl-2-oxobutanoic acid; 3'-O-methylbatatasin III; 3S,4-dihydroxy-butyric acid; 3Z-hexen-3-ol; 3Z-hexenyl 2R-hydroxy-3-methylbutyrate; 4,5-(methanoxy-2-methylethano)isolongifol-4-ene; 4-Prenylresveratrol; 6E-octene-2,4-diynoic acid; 7-chloro-2E-heptenoic acid; 9,14,19,19,19-pentadeuterio-1alpha,25-dihydroxyprevitamin D3; 9-Chloro-10-hydroxyhexadecanoic acid; 9-cis-retinol; 9-hydroxy-7Z-nonene-3,5-diynoic acid; 9Z,11E,13-tetradecatrienal; all-cis-docosa-7,10,13,16-tetraenoic acid; alpha-tocopheronolactone; alpha,alpha'-Diethyl-3,4,4'-stilbenetriol; Arachidonic Acid (d8); arachidonoyl amine; (+)-artemisinin; all-trans Axerophthene; 1-methyl-4-(prop-1-en-2-yl)-3-(2,6,10-trimethyl-dodec-11-en-6-yl)-cyclohex-1- ene; Cacalol; Cadalene; chola-4,6-dien-24-oic acid; Clavepictine B; clavirin I; dehydroepiandrosterone; Demethylbatatasin IV; Desmosflavone; dihydro-3-hydroxy-3-(1-hydroxyethyl)-4-methylfuran-2(3H)-one; dihydroxyfumaric acid; docosanedioic acid; ethyl 3-O-beta-D-glucopyranosyl-butanoate; (3R,9E)-heptadeca-1,9-diene-4,6-diyn-3-ol; Farfugin A; flavone; Furodysin; Grandiflorone; (+)-haematoxylin; hexacosanedioic acid; itaconic acid; Lactosylceramide (d18:1/12:0); (R)-lipoic acid; (R)-mevalonic acid; N-(1,1-dimethyl-2-hydroxy-ethyl) arachidonoyl amine; N-(3-oxohexanoyl)homoserine lactone; 3-oxo-N-[(3S)-2-oxotetrahydrofuran-3-yl]octanamide; N,N-(2,2-dihydroxy-ethyl) arachidonoyl amine; N,N-dimethyl-Safingol; Nigrescin; N-methyl arachidonoyl amine; O-hexanoyl-L-carnitine; o-orsellinic acid; 3'-O-methylcyanidin 3-O-beta-D-glucoside; PA(20:5(5Z,8Z,11Z,14Z,17Z)/12:0)","PC(18:4(6Z,9Z,12Z,15Z)/18:0); PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)); PC(9:0/5:0); PC(P-19:1(12Z)/0:0); p-cymene; PE(10:0/10:0); PE(18:0/20:4(5Z,8Z,10E,14Z)(12OH[S])); PE(18:4(6Z,9Z,12Z,15Z)/15:1(9Z)); PE(19:1(9Z)/15:0); PE(20:5(5Z,8Z,11Z,14Z,17Z)/17:1(9Z)); PE(22:4(7Z,10Z,13Z,16Z)/21:0); PE(P-16:0/18:4(6Z,9Z,12Z,15Z)); PE(P-16:0/20:4(5Z,8Z,10E,14Z)(12OH[S])); PE(P-18:0/17:2(9Z,12Z)); PE(P-18:0/20:4(5Z,8Z,10E,14Z)(12OH[S])); PG(20:0/0:0); PI(12:0/14:0); trans-pinosylvin; podocarpic acid; pregnan-21-al; 1-stearoyl-sn-glycero-3-phosphoserine; PS(P-16:0/19:0); 2,4-Hexadienal; Syzygiol",,,,,,,,,,,,,,,,,
Lipidomic analysis of lipid droplets from murine hepatocytes reveals distinct signatures for nutritional stress.,2014/8/19,mass spectrometry,LTQ-FT,MTBLS26,Harald Köfeler; Friedrich Spener,,Mus musculus,hepatocyte,,,,,,,,,,,,,,,,,,,,
"Metabolomic profiles in long day, after bolting, single leaf analysis, Arabidopsis thaliana",2015/9/14,mass spectrometry,GC-MS,MTBLS7,Joachim Kopka,,Arabidopsis thaliana,leaf,"benzoic acid; azelaic acid; malic acid; dodecane; 2-oxoglutaric acid; L-valine; myo-inositol; L-phenylalanine; pyroglutamic acid; fumaric acid; L-glutamic acid; glycolic acid; hexatriacontane; 1D-myo-inositol 1-phosphate; 3-caffeoylquinic acid; N-carboxyglycine; L-glyceric acid; octadecane; succinic acid; ferulic acid; L-serine; salicylic acid-glucopyranoside; L-threonine; 3-hydroxypyridine; 4-hydroxybenzoic acid; 3-phospho-D-glyceric acid; L-ascorbic acid; L-shikimic acid; sucrose; D-saccharic acid; uric acid; ethanolamine; D-ribitol; D-glucopyranose; alpha,alpha'-D-Trehalose; D-gluconic acid; 1D-myo-inositol 2-phosphate; D-arabinitol; raffinose; D-tagatose; phosphoric acid; spermidine; erythronic acid; beta-alanine; beta-maltose; pentadecane; 1,6-anhydro-beta-D-glucose; glycerol; citric acid; D-glucose 6-phosphate; D-threose; diethylene glycol; L-proline; D-fructose 6-phosphate; methyl nonadecanoate; putrescine; glycerol-3-phosphate; L-aspartic acid; 3-hydroxy-3-methylglutaric acid; docosane; 6-hydroxynicotinic acid; glycine; dotriacontane; 2-hydroxypyridine; L-alanine-d4; palmitic acid; lactic acid; meso-erythritol; L-rhamnose; cis-sinapic acid; stearic acid; boric acid; glycerophosphoglycerol; sorbitol; D-threonic acid-1,4-lactone; decane; uracil; octacosane; D-fructose; L-threonic acid; tetradecanoic acid; D-galactonic acid; L-dehydroascorbic acid; siloxane; galactinol; mesaconic acid",,,,,,,,,,,,,,,,,,,
"Unexpected similarities between the Schizosaccharomyces and human blood metabolomes, and novel human metabolites (Blood plasma and RBC fractions)",2014/7/8,mass spectrometry,LTQ Orbitrap Classic (Thermo Scientific),MTBLS88,Romanas Chaleckis; Masahiro Ebe; Tomáš Pluskal; Itsuo Murakami; Hiroshi  Kondoh; Mitsuhiro Yanagida,,Homo sapiens,blood,"1,5-Anhydroglucitol; 2-Oxoglutarate; 6-Phosphogluconate; Asparagine; Aspartate; CDP; Chenodeoxycholate; Citramalate; Citrate; CTP; Diphospho-glycerate; Fructose-1,6-diphosphate; Fructose-6-phosphate; Fumarate; GDP; Gluconate; Glucose; Glucose-6-phosphate; Glutamate; Glutarate; Glyceraldehyde-3-phosphate; Glyceric acid; Glycerol-2-phosphate; GMP; GTP; Guanosine; Hypoxanthine; Indoxyl-sulfate; Isoleucine; Leucine; Lysine; Malate; myo-Inositol; N-Acetyl-aspartate; Ornithine; Pentose-phosphate; Phosphoenolpyruvate; Phosphoglycerate; Quinic acid; Quinolinic acid; Sedoheptulose-7-phosphate; Serine; Succinate; Taurine; UDP; UDP-acetyl-glucosamine; UDP-glucose; UDP-glucuronate; UMP; Uracil; Urate; Uridine; UTP",,,,,,,,,,,,,,,,,,,
Decreased abundance of type III secretion systeminducing signals in Arabidopsis mkp1 enhances resistance against Pseudomonas syringae,2014/6/24,mass spectrometry,5975C Series GC/MSD (Agilent),MTBLS95,Thomas Metz,,Arabidopsis thaliana,exometabolome,"L-Lactic acid; glycolic acid; L-alanine; 3-Hydroxypropionic acid; L-proline; dehydroalanine; beta-Hydroxyisovaleric acid; L-valine; urea; benzoic acid; L-serine; Phosphoric acid; L-threonine; nicotinic acid; glycine; succinic acid; DL-Glyceric acid; Porphine; uracil; fumaric acid; o-toluic acid; 2,4-Dihydroxybutanoic acid; beta-alanine; D-malic acid; D-Threitol; L-aspartic acid; L-Pyroglutamic acid; 4-Guanidinobutyric acid; Threonic acid; triethanolamine; 4-hydroxybenzoic acid; D-Lyxopyranose; xylitol; L-fucose; 3-Glycerophosphate; 2-ketogluconic acid; shikimic acid; citric acid; fructose; D-galactose; D-glucose; D-gluconic acid; palmitic acid; EINECS 208-487-3; myo-inositol; stearic acid; Lilioside B; sucrose; Unknown 1, RT (min) = 9.4; unknown 2, RT(min) = 11.5; Unknown 3, RT(min) = 12.9; Unknown 4, RT(min) = 13.0; Unknown 5, RT(min) = 13.8; Unknown 6, RT(min) = 13.9; Unknown 7, RT(min) = 14.3; Unknown 8, RT(min) = 15.2; Unknown 9, RT(min) = 15.4; Unknown 10, RT(min) = 15.8; Unknown 11, RT(min) = 16.0; Unknown 12, RT(min) = 16.3; Unknown 13, RT(min) = 16.8; Unknown 14, RT(min) = 17.4; Unknown 15, RT(min) = 17.7; Unknown 16, RT(min) = 17.8; Unknown 17, RT(min) = 17.9; Unknown 18, RT(min) = 18.2; Unknown 19, RT(min) = 18.7; Unknown 20, RT(min) = 19.2; Unknown 21, RT(min) = 22.9",,,,,,,,,,,,,,,,,,,
Dissolved organic matter produced by Thalassiosira pseudonana,2014/12/12,mass spectrometry,Thermo Scientific LTQ FT Ultra,MTBLS144,Krista  Longnecker; Melissa Kido Soule; Elizabeth Kujawinski,,Thalassiosira pseudonana,exometabolome,Tri-N-acetylchitotriose; Bryotoxin A; chitobiose; Dimethylsulfoniopropionate,,,,,,,,,,,,,,,,,,,
13C glucose labelling studies using 2D NMR is a useful tool for determining ex vivo whole organ metabolism during hypothermic machine perfusion of kidneys.,2017/10/16,NMR spectroscopy,Bruker,MTBLS367,Jay Nath; Tom Smith,,Sus scrofa,kidney,lactate; alanine; acetate; glutamate,,,,,,,,,,,,,,,,,,,
"MaHPIC Experiment 30: Metabolomics from the pilot experiment for Macaca mulatta  infected with  Plasmodium knowlesi strain PK1 (A+) to produce and integrate clinical, hematological, parasitological, omics, telemetric and histopathological measures of acute primary infection",2017/10/2,mass spectrometry,Exactive (Thermo Scientific),MTBLS536,Jessica Kissinger,,NCBITAXON:Macaca mulatta;NCBITAXON:Plasmodium coatneyi; Homo sapiens,blood plasma,,,,,,,,,,,,,,,,,,,,
"High-resolution extracted ion chromatography, a new tool for metabolomics and lipidomics using a second-generation orbitrap mass spectrometer",2012/2/14,mass spectrometry,Exactive (Thermo Scientific),MTBLS4,Dietrich Volmer; Albert Koulman,,Homo sapiens,blood plasma,PC(O-38:7); lysoPC(14:0); lysoPC(16:0); lysoPC(16:1); lysoPC(18:0); lysoPC(18:1); lysoPC(18:2); lysoPC(18:3); lysoPC(20:3); lysoPC(20:4); lysoPC(20:5); lysoPC(22:6); PC(34:1); PC(34:2); PC(34:3); PC(34:4); PC(36:2); PC(36:3); PC(36:4); PC(36:5); PC(38:3); PC(38:4); PC(38:5); PC(38:6); PC(38:7); PC(40:5); PC(40:6); PC(40:7); lysoPC(O-16:0); LysoPC(O-16:1); lysoPC(O-18:1); PC(O-34:2); PC(O-34:3); PC(O-36:3); PC(O-36:5); PC(O-36:6); PC(O-38:4); PC(O-38:5); PC(O-38:6); PC(O-40:6); lysoPE(18:0); lysoPE(18:1); lysoPE(20:4); SM(32:1); SM(33:1); SM(34:2),,,,,,,,,,,,,,,,,,,
GC-MS based targeted metabolic profiling identifies changes in the wheat metabolome following deoxynivalenol treatment,2014/10/17,mass spectrometry,5975C Series GC/MSD (Agilent),MTBLS112,Benedikt Warth; Rainer Schuhmacher,,Triticum aestivum,spike,Xylitol; L-valine; Urea; Uracil; L-tyrosine; L-tryptophan; Tryptamine; Thymine; L-threonine; Threonic acid; Succinic acid; Spermidine; shikimic acid; Serotonine; L-serine; sucrose; ribulose-5-phosphate; D-ribose; Ribitol; quinic acid; L-Pyroglutamic acid; Putrescine; L-proline; Phosphoric acid; L-phenylalanine; Ornithine; L-Norleucine; Inositol-phosphate; Myoinositol; L-methionine; D-Mannitol; maltose; Malonic acid; L-Malic acid; L-lysine; L-isoleucine; Homoserine; Glycine; 3-phosphoglycerate; Glyceric acid; L-glutamine; L-glutamic acid; glucose-6 phosphate; D-glucose; D-Galactopyranose; Fumaric acid; Fructose 6-Phosphate; Fructose; L-cysteine; Citric acid; Gamma-aminobutyric acid; Beta-Alanine; L-aspartic acid; L-asparagine; arabinose; L-alanine; Adenosine; 2-Ketoglutaric acid,,,,,,,,,,,,,,,,,,,
Metabolomic analysis of the mechanism of action of yerba mate extract on Salmonella Typhimurium,2017/2/16,mass spectrometry,Exactive Plus (Thermo Scientific),MTBLS359,Caroline Rempe,,Salmonella enterica,endometabolome,"Guanosine; Sedoheptulose 1-phosphate; Sedoheptulose 7-phosphate; Ophthalmate; Glycinamide ribotide (GAR); 6-Phospho-D-gluconate; S-Ribosyl-L-homocysteine; dCMP; Glutathione; Octulose 8-phosphate; Octulose 1-phosphate; dTMP; CMP; UMP; cAMP; Fructose 1,6-bisphosphate; Trehalose; Sucrose; Cellobiose; AMP; dGMP; 2-Deoxyribose phosphate; 5-Deoxyribose phosphate; D-Glucarate; Xanthurenic acid; Tryptophan; IMP; Ribose phosphate; Xylitol 5-phosphate; Cystine; Uridine; Shikimate-3-phosphate; Glucosamine phosphate; Glucose 1-phosphate; Glucose 6-phosphate; NAD+; UDP-N-acetylglucosamine; UDP-glucuronate; UDP-glucose; Taurodeoxycholate; NADP+; FAD; Yohimbine; GMP; Xanthosine 5-phosphate; Sedoheptoluse bisphosphate; S-Adenosyl-L-homocysteine; D-Gluconate; UDP; ADP; CDP-ethanolamine; FMN; Asparagine; Malate; Ornithine; Hydroxyisocaproic acid; Leucine; Isoleucine; Creatine; Hydroxyproline; N-Acetyl-beta-alanine; Citraconate; Hydroxybenzoate; Acetylphosphate; alpha-Ketoglutarate; Glutamate; 2-Oxo-4-methylthiobutanoate; 2-Hydroxy-2-methylsuccinate; Methionine; Proline; Uracil; Glycerate; Fumarate; Lactate; Alanine; Sarcosine; Pyruvate; 2-Oxoisovalerate; Indole; Valine; Succinate; Methylmalonate; Homoserine; Threonine; Nicotinate; Pyroglutamic acid; Ascorbate; Hydroxyphenylpyruvate; Gluconolactone; 2-Isopropylmalate; N-Carbamoyl-L-aspartate; myo-Inositol; Citrulline; Arginine; N-Acetylornithine; Aconitate; Glycerone phosphate; Tyrosine; 4-Pyridoxate; 3-Phosphoserine","3-Phosphoglycerate; N-Acetylglutamine; Acetyllysine; Kynurenic acid; N-Acetylglutamate; Citrate; isocitrate; 2-Dehydro-D-gluconate; Vanillin; Xylitol; 2,3-Dihydroxybenzoate; Histidine; Dihydroorotate; Allantoin; 2-Aminoadipate; Phenylpyruvate; Phenylalanine; Phenyllactic acid; Dipicolinate; Quinolinate; Phosphoenolpyruvate; 2-sulfolactic acid; 3-sulfolactic acid",,,,,,,,,,,,,,,,,,
Metabolomics analysis reveals the participation of efflux pumps and ornithine in the response of Pseudomonas putida DOT-T1E cells to challenge with propranolol,2016/8/23,mass spectrometry,Exactive (Thermo Scientific),MTBLS320,Ali Sayqal; Yun  Xu; Drupad  Trivedi; Najla  AlMasoud; David  Ellis; Nicholas  Rattray; Royston  Goodacre,,Pseudomonas putida,whole organism,"unknown; Pyridine, 3-methyl-; Undecane; Cyclopentene, 3-methyl-1-(trimethylsilyloxy)-; Decane, 2,6,7-trimethyl-; 4-(Trimethylsilyl)morpholine; Trisiloxane, 1,1,1,5,5,5-hexamethyl-3,3-bis[(trimethylsilyl)oxy]-; 3-Hexyne, 2,2-dimethyl-1-dimethylamino-; 3,6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl-; Tridecane, 4-methyl-; Alanine; Pyridine, 3-trimethylsiloxy-; Ethylbis(trimethylsilyl)amine; Valine; Propanedioic acid, bis(trimethylsilyl) ester; L-Norvaline, N-(trimethylsilyl)-, trimethylsilyl ester; Butanoic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, trimethylsilyl ester; Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-; Leucine; Trimethylsilyl ether of glycerol; Pentadecane; Hexasiloxane, tetradecamethyl-; Dodecane, 2,6,11-trimethyl-; Norleucine; Decane; L-Isoleucine, N-(trimethylsilyl)-, trimethylsilyl ester; Glycine d5; Octadecane; Phosphate; 1-Octanamine, n-octyl-; Threonine; Serine; Urea, N,N'-bis(trimethylsilyl)-; Succinic acid d4; Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester; Uracil; Heptadecane, 2,6-dimethyl-; Glutaric acid; Aspartic acid; 4-aminobutyric acid; L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester; Methionine; Threitol; Arginine; Xylose; Putrescine; Glutamine; Heptacosane; Heptadecane; Phenylalanine; Phosphoric acid, 2-(trimethylsiloxy)-1-[(trimethylsiloxy)methyl]ethyl bis(trimethylsilyl) ester; Nicotinamide; Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-; Mannose; 2-Butenedioic acid (Z)-, bis(trimethylsilyl) ester; Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester; Ornithine; Gluconic acid; Citric acid; Bis(dimethyl-t-butylsilyl) maleate; Sulfurous acid, dipropyl ester; Silanamine, N-[2-[3,4-bis[(trimethylsilyl)oxy]phenyl]ethyl]-1,1,1-trimethyl-N-(trimethylsilyl)-; Lysine; Eicosane; 1,6-anhydroglucose; alpha-Naphthyl myristate; myo-inositol; L-Norleucine, N-(trimethylsilyl)-, trimethylsilyl ester; 1-Cyclohexene-1-carboxylic acid, 3,4,5-tris[(trimethylsilyl)oxy]-, trimethylsilyl ester, [3R-(3 alpha,4 alpha,5 beta)]-; L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester; Tyrosine; alpha-D-Mannopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-; L-Leucine, N-(trimethylsilyl)-, trimethylsilyl ester; 4-Propoxy-2-butanone; D-Glucuronic acid, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, trimethylsilyl ester; Tyramine; Cyclopentanecarboxylic acid, 1-amino-, bis(trimethylsilyl) deriv.; Hexadecanoic acid; Palmitoleic acid; Stearic acid; Eicosane, 2-methyl-; Aspartic Acid; Heptasiloxane, hexadecamethyl-; Glucose-6-phosphate; Octadecanoic acid; Oleic acid; 2-Piperidinecarboxylic acid, 1-(trimethylsilyl)-, trimethylsilyl ester; N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid; L-Tryptophan, N,1-bis(trimethylsilyl)-, trimethylsilyl ester; Ricinoleic acid, trimethylsiloxy, trimethylsilyl ester; Sucrose; Propanolol TMS derivative; Norvaline; Tryptophan; Trehalose; Metoprolol di-TMS derivative; Tryptamine; Adenosine; Guanosine; 3-Methoxy-N,N,O-tris(trimethylsilyl)tyramine","5'-Adenylic acid, pentakis(trimethylsilyl) deriv.",,,,,,,,,,,,,,,,,,
A Combined Metabolomic and Proteomic Investigation of the Effects of a Failure to Express Dystrophin in the Mouse Heart,2017/3/14,NMR spectroscopy,INOVA,MTBLS256,Julian Griffin,,Mus musculus,left ventricle,Myo-inositol; Lactate; choline; Citrate; Leucine; Creatine; Alanine; butyrate; adenosine; glucose; isoleucine; valine; phosphocholine; glutamine; taurine; ribose; glycerol; glutamate; NAD,,,,,,,,,,,,,,,,,,,
Olive Oil Authenticity Studies by Target and Non-target LC-QTOF-MS combined with Advanced Chemometric Techniques,2017/5/4,mass spectrometry,maXis (Bruker),MTBLS433,Natasa Kalogiouri; Nikiforos Alygizakis; Reza Aalizadeh; Nikolaos Thomaidis,,Olea europaea,Olive Oil,unknown; Hexanoic acid; Octanoic acid; Cinnamic acid; Quinic acid; Acetosyringone; Dodecanoic acid; Sinapic acid; Myristic acid; Pentadecanoic acid; Palmitoleic acid; Palmitic acid; Heptadecanoic acid; alpha-linolenic acid; alpha-linoleic acid; Oleic acid; Stearic acid; cis-Eicosenoic acid; Arachidic acid; Heneicosanoic acid; Tricosanoic acid; Lignoceric acid,,,,,,,,,,,,,,,,,,,
