GenericArticleId,RelevanceScore,PMID,DOI,PublicationDate,IsReview,Title,Author,Journal,Citation,ChemicalName,DiseaseName,GeneSymbolName,u,v,NeighborName,OrderingByCooccurrenceScore,QueryArticleCount,NeighborArticleCount,TotalArticleCount,EffectiveTotalArticleCount,ArticleCount,CooccurrenceScore
4521819,265,31706067,10.1016/j.thromres.2019.09.033,2019-12-01,TRUE,Rivaroxaban plus aspirin for cardiovascular protection: Rationale for the vascular dose and dual pathway inhibition,"Eduardo Ramacciotti, Jeffrey I Weitz",Thrombosis research,2019 Dec; 184(?):44-49,aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
4591301,265,31885222,10.26444/aaem/100391,2019-12-19,TRUE,The role of acetylsalicylic acid and circulating microRNAs in primary prevention of cardiovascular events in patients with Diabetes Mellitus Type 2 - A Review,"Aleksandra Chabior, Justyna Pordzik, Dagmara Mirowska-Guzel, Marek Postuła",Annals of agricultural and environmental medicine : AAEM,2019 Dec; 26(4):512-522,acetylsalicylic acid,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
5850754,265,34819242,10.1016/j.clinthera.2021.10.005,2021-12-01,FALSE,"A Comparison of Coagulation Function in Patients Receiving Aspirin and Cefoperazone-Sulbactam With and Without Vitamin K1: A Retrospective, Observational Study","Shuxie Wu, Gao Wu, Hanbin Wu",Clinical therapeutics,2021 Dec; 43(12):e335-e345,aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
4920380,260,32761372,10.1007/s00228-020-02969-y,2021-04-01,FALSE,ImpaCt of aspirin regimen on THrombin generation in diabEtic patients with acute coronary syndrome: CARTHaGE-ACS trial,"Amine Boussofara, Lobna Laroussi, Hela Baccouche, Emna Bennour, Sami Kasbaoui, Hbib Triki, Ibn El Haj Zied, Ikram Kammoun, Afef Ben Halima, Faouzi Addad, Sonia Marrakchi, Neila Ben Romdhane, Salem Kachboura",European journal of clinical pharmacology,2021 Apr; 77(4):517-526,aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
3451836,265,35267516,10.3390/cancers14051211,2022-02-25,FALSE,"Chemopreventive Effects of Concomitant or Individual Use of Statins, Aspirin, Metformin, and Angiotensin Drugs: A Study Using Claims Data of 23 Million Individuals","Ching-Huan Wang, Chih-Wei Huang, Phung Anh Nguyen, Ming-Chin Lin, Chih-Yang Yeh, Md Mohaimenul Islam, Annisa Ristya Rahmanti, Hsuan-Chia Yang",Cancers,2022 Feb; 14(5):,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
7377581,265,27865540,10.1016/j.aller.2016.08.010,2017-11-01,TRUE,Cofactors and comorbidities in patients with aspirin/NSAID hypersensitivity,"M Sánchez-Borges, F Caballero-Fonseca, A Capriles-Hulett",Allergologia et immunopathologia,2017 Nov; 45(6):573-578,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
1788260,260,23907141,10.1093/eurheartj/eht287,2013-11-01,TRUE,Is aspirin useful in primary prevention?,John G F Cleland,European heart journal,2013 Nov; 34(44):3412-8,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
2896783,260,26369686,10.2174/1381612821666150915105537,2015-01-01,TRUE,Low-Dose Aspirin-Associated Upper and Mid Gastrointestinal Tract Damage and Gene Polymorphism,"Akiko Shiotani, Yoshihiko Fujita, Kazuto Nishio",Current pharmaceutical design,2015; 21(35):5066-72,aspirin,,angiotensin converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
5459041,260,33999375,10.1007/s12328-021-01430-6,2021-08-01,FALSE,Isolated angioedema of the bowel caused by aspirin,"Karim Osman, Ayse Tuba Kendi, Daniel Maselli",Clinical journal of gastroenterology,2021 Aug; 14(4):1096-1102,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
282082,255,29473449,10.1177/1708538118762214,2018-08-01,FALSE,Aspirin use is associated with decreased radiologically-determined thrombus sac volume in abdominal aortic aneurysms,"Mark D Balceniuk, Lauren E Trakimas, Claudia Aghaie, Doran Mix, Khurram Rasheed, Jennifer Ellis, Roan Glocker, Adam Doyle, Michael C Stoner",Vascular,2018 Aug; 26(4):440-444,acetylsalicylic acid; aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
2435549,255,30025403,10.1159/000492224,2018-01-01,FALSE,Chemoprevention with Enalapril and Aspirin in Men1(+/T) Knockout Mouse Model,"Jerena Manoharan, Volker Fendrich, Pietro Di Fazio, Carmen Bollmann, Silvia Roth, Barbara Joos, Ioannis Mintziras, Max B Albers, Annette Ramaswamy, Philippe Bertolino, Chang X Zhang, Emily P Slater, Detlef K Bartsch, Caroline L Lopez-Lopez",Neuroendocrinology,2018; 107(3):257-266,aspirin,,angiotensin-i converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
3758687,175,35787862,10.1016/j.mayocp.2022.02.027,2022-07-01,TRUE,Lowering and Raising Serum Urate Levels: Off-Label Effects of Commonly Used Medications,"Nicole Leung, Kevin Yip, Michael H Pillinger, Michael Toprover",Mayo Clinic proceedings,2022 Jul; 97(7):1345-1362,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
5829451,175,34759230,10.1097/cm9.0000000000001875,2021-11-10,TRUE,Association between common cardiovascular drugs and depression,"Shu-Hui Tao, Xue-Qun Ren, Li-Jun Zhang, Mei-Yan Liu",Chinese medical journal,2021 Nov; 134(22):2656-2665,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
3512454,165,35429947,10.34172/aim.2022.17,2022-02-01,FALSE,Short- and Long-term Myocardial Infarction Survival Rate According to the Type of Drugs Prescribed at the Time of Discharge: A Study Using Iran National Registry Data,"Samaneh Mozaffarian, Niloufar Taherpour, Mohammad Sistanizad, Mohammad Aghaali, Seyed Saeed Hashemi Nazari",Archives of Iranian medicine,2022 Feb; 25(2):105-111,aspirin,,angiotensin-converting enzyme,2244,ace,angiotensin i converting enzyme,TRUE,20091,29134,34603510,4572961,1180,38903
5185575,270,33234770,10.4166/kjg.2020.140,2020-11-25,TRUE,Prevention of Peptic Ulcer Associated with Aspirin and Antiplatelet Agent,Ji Yong Ahn,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,2020 11; 76(5):238-241,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
191401,265,29229321,10.1016/j.ajog.2017.11.565,2018-02-01,TRUE,"The role of aspirin, heparin, and other interventions in the prevention and treatment of fetal growth restriction","Katie M Groom, Anna L David",American journal of obstetrics and gynecology,2018 02; 218(2S):S829-S840,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
199831,265,29253055,10.15403/jgld.2014.1121.264.hra,2017-12-01,TRUE,PPIs Prevent Aspirin-Induced Gastrointestinal Bleeding Better than H2RAs. A Systematic Review and Meta-analysis,"Imre L Szabó, Robert Mátics, Peter Hegyi, Andras Garami, Anita Illés, Patricia Sarlós, Judit Bajor, Akos Szűcs, Dora Mosztbacher, Katalin Márta, Kata Szemes, Kata Csekő, Balint Kővári, Zoltan Rumbus, Áron Vincze",Journal of gastrointestinal and liver diseases : JGLD,2017 Dec; 26(4):395-402,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
3398395,265,35121597,10.1136/bmjopen-2021-050510,2022-02-04,FALSE,Safety and effectiveness of low-dose aspirin for the prevention of gastrointestinal cancer in adults without atherosclerotic cardiovascular disease: a population-based cohort study,"Jessica J P Shami, Jiaxi Zhao, Swathi Pathadka, Eric Yuk Fai Wan, Joseph Edgar Blais, Pareen Vora, Montse Soriano-Gabarró, Ka Shing Cheung, W K Leung, Ian C K Wong, Esther W Chan",BMJ open,2022 Feb; 12(2):e050510,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
3422907,265,35187830,10.1111/imj.15687,2022-02-01,FALSE,Hospitalisation and associated costs of gastrointestinal bleeding from primary prevention aspirin use in South Australia: a retrospective case series analysis,"Gregory Roberts, Maxwell Baker, Hannah Leiblich, Maryssa Paulose, Matthew Pegoli, Lucas Panagopoulos, Carly Schiller, Vijayaprakash Suppiah",Internal medicine journal,2022 Feb; 52(2):318-321,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
3507394,265,35419961,10.1111/imj.15732,2022-04-01,FALSE,Prior oral proton-pump inhibitor use is associated with reduced severity of aspirin-related upper gastrointestinal bleeding in older people,"Oyekoya T Ayonrinde, Natasha Walldorf, Nicholas Chan, Nathanael Y Foo, Tithi Kulkarni, John K Olynyk, Frank M Sanfilippo",Internal medicine journal,2022 Apr; 52(4):663-666,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
3642943,265,35500171,10.1002/ccd.30217,2022-05-02,FALSE,Impact of proton pump inhibitors on efficacy of antiplatelet strategies with ticagrelor or aspirin after percutaneous coronary intervention: Insights from the GLOBAL LEADERS trial,"Masafumi Ono, Yoshinobu Onuma, Hideyuki Kawashima, Hironori Hara, Chao Gao, Rutao Wang, Neil O'Leary, Edouard Benit, Luc Janssens, Maurizio Ferrario, Aleksander Żurakowski, Marcello Dominici, Kurt Huber, Paweł Buszman, Scot Garg, Joanna J Wykrzykowska, Jan J Piek, Peter Jüni, Christian Hamm, Stephan Windecker, Pascal Vranckx, Efthymios N Deliargyris, Deepak L Bhatt, Robert F Storey, Marco Valgimigli, Patrick W Serruys",Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2022 May; ?(?):,aspirin,,proton pump,2244,atp4a,atpase h+/k+ transporting subunit alpha,TRUE,20091,12164,34603510,4572961,860,33251
1911680,260,24244288,10.1371/journal.pone.0078093,2013-01-01,TRUE,"The association of four common polymorphisms from four candidate genes (COX-1, COX-2, ITGA2B, ITGA2) with aspirin insensitivity: a meta-analysis","Zhiyuan Weng, Xiaobo Li, Yuqiong Li, Jinxiu Lin, Feng Peng, Wenquan Niu",PloS one,2013; 8(11):e78093,aspirin,,itga2b,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
5175906,260,33207279,10.1016/j.vph.2020.106819,2021-02-01,FALSE,Residual platelet reactivity in low-dose aspirin-treated patients with class 1 obesity,"Silvia Lee, Beate Eichelberger, Christoph W Kopp, Simon Panzer, Thomas Gremmel",Vascular pharmacology,2021 02; 136(?):106819,aspirin,,gpiib,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
5233816,260,33370633,10.1016/j.biopha.2020.111165,2021-02-01,FALSE,Combination of Panax notoginseng saponins and aspirin potentiates platelet inhibition with alleviated gastric injury via modulating arachidonic acid metabolism,"Wenting Wang, Lin Yang, Lei Song, Ming Guo, Changkun Li, Bin Yang, Mingming Wang, Na Kou, Jie Gao, Hua Qu, Yan Ma, Mei Xue, Dazhuo Shi",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2021 Feb; 134(?):111165,aspirin,,gpiib,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
228113,255,29329538,10.1186/s12920-017-0318-6,2018-01-12,FALSE,Peripheral blood gene expression signatures which reflect smoking and aspirin exposure are associated with cardiovascular events,"James A Wingrove, Karen Fitch, Brian Rhees, Steven Rosenberg, Deepak Voora",BMC medical genomics,2018 01; 11(1):1,aspirin,,itga2b,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
4131388,255,31007424,10.4103/aian.aian_4_18,2019-04-01,FALSE,Aspirin and Clopidogrel Resistance in Indian Patients with Ischemic Stroke and its Associations with Gene Polymorphisms: A Pilot Study,"Samir Patel, Vandana Arya, Amrita Saraf, Manorama Bhargava, C S Agrawal",Annals of Indian Academy of Neurology,2019 Apr; 22(2):147-152,aspirin,,gpiib,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
4229178,255,31266078,10.1055/s-0039-1692681,2019-09-01,FALSE,miR-34b-3p May Promote Antiplatelet Efficiency of Aspirin by Inhibiting Thromboxane Synthase Expression,"Wen Wen Liu, Hao Wang, Xia Huan Chen, Sidney W Fu, Mei Lin Liu",Thrombosis and haemostasis,2019 Sep; 119(9):1451-1460,aspirin,,itga2b,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
3495229,165,35387483,10.1161/atvbaha.121.317513,2022-04-07,FALSE,Multi-Omics Signatures Link to Ticagrelor Effects on Vascular Function in Patients With Acute Coronary Syndrome,"Chor-Cheung Frankie Tam, Yap-Hang Chan, Yuen-Kwun Wong, Zhen Li, Xiurui Zhu, Kuo-Jung Su, Anindita Ganguly, Kuoyuan Hwa, Xuefeng B Ling, Hung-Fat Tse","Arteriosclerosis, thrombosis, and vascular biology",2022 Apr; ?(?):101161ATVBAHA121317513,aspirin,,cd41,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
4821658,160,32493086,10.1080/09537104.2020.1771550,2021-05-19,FALSE,Sex differences in platelet reactivity in patients with myocardial infarction treated with triple antiplatelet therapy - results from assessing platelet activity in coronary heart disease (APACHE),"Anna Holm, Eva Swahn, Sofia Sederholm Lawesson, Kerstin M Gustafsson, Magnus Janzon, Lena Jonasson, Tomas L Lindahl, Joakim Alfredsson",Platelets,2021 May; 32(4):524-532,aspirin,,gpiib,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
5188130,160,33242045,10.1039/d0lc00756k,2021-01-05,FALSE,Microfluidic assay of antiplatelet agents for inhibition of shear-induced platelet adhesion and activation,"Shekh Mojibur Rahman, Vladimir Hlady",Lab on a chip,2021 01; 21(1):174-183,acetylsalicylic acid,,gpiib,2244,itga2b,integrin subunit alpha 2b,TRUE,20091,4222,34603510,4572961,612,27885
1302039,265,29667460,10.1080/09537104.2018.1445839,2018-07-01,TRUE,"Clinical utility of remote platelet function measurement using P-selectin: assessment of aspirin, clopidogrel, and prasugrel and bleeding disorders","Philip M Bath, Jane May, Stan Heptinstall",Platelets,2018 Jul; 29(5):425-430,aspirin,,p-selectin,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
3397901,265,35120275,10.1002/clc.23787,2022-02-04,FALSE,Cilostazol combined with P2Y12 receptor inhibitors: A substitute antiplatelet regimen for aspirin-intolerant patients undergoing percutaneous coronary stent implantation,"Yikai Zhao, Peng Zhou, Wen Gao, Haoxuan Zhong, Yufei Chen, Wei Chen, Maieryemu Waresi, Kun Xie, Haiming Shi, Hui Gong, Guibin He, Zhaohui Qiu, Xinping Luo, Jian Li",Clinical cardiology,2022 Feb; ?(?):,aspirin,,cd62p,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
3845781,265,36030623,10.1016/j.jns.2022.120334,2022-07-11,FALSE,Assessment of on-treatment platelet reactivity at high and low shear stress and platelet activation status after the addition of dipyridamole to aspirin in the early and late phases after TIA and ischaemic stroke,"S T Lim, S J X Murphy, S M Murphy, T Coughlan, D O'Neill, S Tierney, B Egan, D R Collins, A J McCarthy, S-Y Lim, D R Smith, D Cox, D J H McCabe",Journal of the neurological sciences,2022 Jul; 441(?):120334,aspirin,,cd62p,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
5732701,265,34495376,10.1007/s00125-021-05562-9,2021-12-01,FALSE,"Rivaroxaban compared with low-dose aspirin in individuals with type 2 diabetes and high cardiovascular risk: a randomised trial to assess effects on endothelial function, platelet activation and vascular biomarkers","Frank Pistrosch, Jan B Matschke, Dorothea Schipp, Bernhard Schipp, Elena Henkel, Ingo Weigmann, Jan Sradnick, Stefan R Bornstein, Andreas L Birkenfeld, Markolf Hanefeld",Diabetologia,2021 Dec; 64(12):2701-2712,aspirin,,p-selectin,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
5823428,265,34742142,10.1016/j.thromres.2021.10.021,2021-12-01,FALSE,Serum thromboxane B2 but not soluble P-selectin levels identify ischemic stroke patients with persistent platelet reactivity while on aspirin therapy,"Pandarisamy Sundaravadivel, Rita Christopher, Nitin Ramanujam, Sadanandavalli Retnaswami Chandra",Thrombosis research,2021 Dec; 208(?):92-98,aspirin,,p-selectin,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
5151369,260,33141921,10.1002/cpt.2106,2021-06-01,FALSE,Differential Effects of Clopidogrel With or Without Aspirin on Platelet Reactivity and Coagulation Activation: A Randomized Trial in Healthy Volunteers,"Ludwig Traby, Marietta Kollars, Alexandra Kaider, Jolanta Maria Siller-Matula, Oskar Steinbrecher, Michael Wolzt, Paul Alexander Kyrle, Sabine Eichinger",Clinical pharmacology and therapeutics,2021 06; 109(6):1546-1554,aspirin,,p-selectin,2244,selp,selectin p,TRUE,20091,6910,34603510,4572961,516,21854
5127620,260,33077680,10.1136/svn-2019-000319,2021-06-01,FALSE,"Comparison of outcome of patients with acute minor ischaemic stroke treated with intravenous t-PA, DAPT or aspirin","Peng Wang, Mengyuan Zhou, Yuesong Pan, Xia Meng, Xingquan Zhao, Liping Liu, Hao Li, Yongjun Wang, Zhimin Wang, Yilong Wang",Stroke and vascular neurology,2021 Jun; 6(2):187-193,aspirin,,tissue plasminogen activator,2244,EC:3.4.21.68,t-plasminogen activator,TRUE,20091,7940,34603510,4572961,444,18402
832832,250,21835634,10.1016/j.jstrokecerebrovasdis.2011.06.017,2013-02-01,FALSE,Aspirin treatment failure and the risk of recurrent stroke and death among patients with ischemic stroke,"Alexandros L Georgiadis, Steve M Cordina, Gabriela Vazquez, Nauman Tariq, M Fareed K Suri, Kamakshi Lakshminarayan, Harold P Adams, Adnan I Qureshi",Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2013 Feb; 22(2):100-6,aspirin,,tissue plasminogen activator,2244,EC:3.4.21.68,t-plasminogen activator,TRUE,20091,7940,34603510,4572961,444,18402
