,m/z,theoretical_mz,ppm,precursor_type,name,formula,exact_mass,cas,biocyc,chebi,chembl,drugbank,hmdb,kegg,knapsack,lipidbank,lipidmaps,metabolights,pubchem,wikipedia
MSI00029,378.1085,378.1095,3,[M]+,2-[[[4-[(4-chloroanilino)-oxomethyl]-1H-imidazol-5-yl]-oxomethyl]amino]acetic acid tert-butyl ester,C17H19ClN4O4,378.1094828,,,CHEBI:117065,,,,,,,,,16746624,
MSI00030,423.0565,423.0510,14,[M-H2O+NH4]+,Calicheamicinone,C18H17NO5S3,423.0269,,,,,,,C21337,,,,,,
MSI00031,666.0292,666.0269,3,[M+H-H2O]+,"[2-(3,4-Dichlorophenyl)-2-oxoethyl] 4-[3-[3-cyano-6-phenyl-4-(trifluoromethyl)pyridin-2-yl]sulfanyl-2,5-dioxopyrrolidin-1-yl]benzoate",C32H18Cl2F3N3O5S,683.0296317,,,,,,,,,,,,21172909,
MSI00032,191.0531,191.0531,0,[M+H]+,(1-Sulfanylnaphthalen-2-yl)methanol,C11H10OS,190.04523611,,,,,,,,,,,,10954350,
MSI00033,213.0350,213.0370,12,[M+Na]+,2-Keto-5-epi-valiolone,C7H10O6,190.0477,,,,,,,C17695,,,,,,
MSI00034,171.0166,171.0170,3,[M+Na]+,3-Diazoniobenzoate,C7H4N2O2,148.027277375,1743-37-9,,CHEBI:64438,,,,,,,,,13948284,
MSI00035,192.0654,192.0661,3,[M+H]+,5-Hydroxyindole-3-acetic acid,C10H9NO3,191.058243149,54-16-0,,CHEBI:27823,,,HMDB0000763,C05635,,,,,1826,5-Hydroxyindoleacetic_acid
MSI00036,357.0847,357.0900,16,[M+NH4]+,S-Sulfanylglutathione,C10H17N3O6S2,339.0559,,,,,,,C17267,,,,,,
MSI00037,164.0705,164.0712,4,[M]+,L-phenylalaninate,C9H10NO2-,164.071153562,19701-97-4,,CHEBI:32486,,,,,,,,,5460958,
MSI00039,314.1597,314.1540,18,[M+K]+,Paraoxon,C10H14NO6P,275.0559,,,,,,,C06606,,,,,,
MSI00040,401.1232,401.1232,0,[M]+,"2-[(3,5-dimethyl-4-isoxazolyl)methylthio]-3-prop-2-enyl-6,7,8,9-tetrahydro-5H-cyclohepta[2,3]thieno[2,4-b]pyrimidin-4-one",C20H23N3O2S2,401.12316933,,,CHEBI:109814,,,,,,,,,1277344,
MSI00041,908.9934,908.9915,2,[M+H-2H2O]+,"[5-[2-(7,8-Diazido-5,6-dioxonaphthalen-1-yl)sulfonyloxy-1,3-dioxoisoindol-5-yl]oxy-1,3-dioxoisoindol-2-yl] 7,8-diazido-5,6-dioxonaphthalene-1-sulfonate",C36H12N14O15S2,944.00479808,,,,,,,,,,,,23023026,
MSI00044,162.0549,162.0555,4,[M]+,Indoline-2-carboxylate,C9H8NO2-,162.055503498,,,CHEBI:167877,,,,,,,,,22492078,
MSI00046,608.0780,608.0890,19,[M+H]+,UDP-N-acetyl-D-mannosamine,C17H27N3O17P2,607.0816,,,,,,,C01170,,,,,,
MSI00047,457.0022,457.0017,1,[M]+,"ethyl 3-[(5E)-5-[(5-bromo-2-propoxyphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]propanoate",C18H20BrNO4S2,457.00171,,,,,,,,,,,,19198852,
MSI00048,345.0970,345.0974,1,[M]+,"(4R)-2-acetyl-4-(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)-4-methyl-3-oxocyclohexa-1,5-dien-1-olate",C18H17O7-,345.09742788,,,CHEBI:58781,,,,,,,,,25200701,
MSI00049,331.1055,331.1020,11,[M+NH4]+,2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine,C8H16N3O8P,313.0675,,,,,,,C04640,,,,,,
MSI00050,411.0145,411.0110,9,[M+H-H2O]+,IDP,C10H14N4O11P2,428.0134,,,,,,,C00104,,,,,,
MSI00052,172.0391,172.0399,4,[M]+,Quinoline-4-carboxylate,C10H6NO2-,172.039853434,,,CHEBI:58440,,,,,,,,,6932020,
MSI00053,267.9596,267.9608,5,[M]+,Potassium trinitrophenolate,C6H3KN3O7+,267.96080593,573-83-1,,,,,,,,,,,54602535,
MSI00054,431.1338,431.1320,5,[M+Na]+,Ginkgolide A,C20H24O9,408.142,,,,,,,C07601,,,,,,
MSI00055,289.0972,289.0971,0,[M+Na]+,(S)-Pterosin K,C15H19ClO2,266.1073575,41411-03-4,,,,,HMDB0036602,,,,,,5320787,
MSI00056,234.0136,234.0142,2,[M]+,Potassium gluconate,C6H11KO7,234.01418417,299-27-4; 35087-77-5,,CHEBI:32032,,DB13620,,,,,,,16760467,Potassium_gluconate
MSI00057,855.0612,855.0613,0,[M-H2O+NH4]+,CID 15843434,C16H28F18N7P3Ru,855.037502,,,,,,,,,,,,15843434,
MSI00058,493.9639,493.9611,6,[M]+,"1,1,1,2,4,4,5,5,7,8,8,8-Dodecafluoro-2,7-bis(trifluoromethyl)octane-3,6-dione",C10F18O2,493.9610862,,,,,,,,,,,,12933458,
MSI00059,382.0830,382.0760,17,[M+H]+,2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,C10H16N5O9P,381.0686,,,,,,,C15563,,,,,,
MSI00060,520.1487,520.1482,1,[M]+,"4-nitrophenyl 4-[bis(2H-1,3-benzodioxol-5-yl)(hydroxy)methyl]piperidine-1-carboxylate",C27H24N2O9,520.14818035,1101854-58-3,,CHEBI:95015,,,,,,,,,25021165,
MSI00061,682.0008,682.0032,4,[M+Na]+,"sodium;[(2R,3R,4S,5S,6S)-2-[[[2-[acetyl(benzoyl)amino]acetyl]amino]methyl]-6-methoxy-3,5-disulfooxyoxan-4-yl] hydrogen sulfate",C18H24N2NaO17S3+,659.0134801,,,,,,,,,,,,11308321,
MSI00062,494.9584,494.9616,7,[M]+,"2-[3,5-Dibromo-4-[[4-(2-hydroxypropan-2-yl)phenyl]methyl]phenyl]-1,2,4-triazine-3,5-dione",C19H17Br2N3O3,494.96162,,,,,,,,,,,,19608286,
MSI00063,397.1226,397.1290,16,[M+H-H2O]+,Podophyllotoxin,C22H22O8,414.1315,,,,,,,C10874,,,,,,
MSI00065,878.0452,878.0417,4,[M+H-H2O]+,Benzamine Blue,C34H28N6NaO14S4+,895.04440356,72-57-1,,,,,,,,,,,135421783,Trypan_blue
MSI00066,371.0431,371.0435,1,[M]+,"4-[[4-Chloro-1-(2-methoxyphenyl)-2,5-dioxopyrrol-3-yl]amino]benzoate",C18H12ClN2O5-,371.0434742,,,,,,,,,,,,1654270,
MSI00067,208.0797,208.0820,11,[M+NH4]+,"2,4-Dihydroxyhept-2-enedioate",C7H10O6,190.0477,,,,,,,C06201,,,,,,
MSI00068,266.9648,266.9670,9,[M+H]+,3-Phospho-D-glyceroyl phosphate,C3H8O10P2,265.9593,,,,,,,C00236,,,,,,
MSI00069,871.0371,871.0370,0,[M+K]+,Pentadecafluorooctanoic acid heptadecafluorooctyl ester,C16F32O2,831.9387304,,,,,,,,,,,,11018292,
MSI00070,650.0554,650.0521,5,[M+K]+,"(4-Bromophenyl)methyl 2-(1,1,2,2,3,3,3-heptafluoropropyl)-7-nitro-5-(trifluoromethyl)benzimidazole-1-carboxylate",C19H8BrF10N3O4,610.95385,,,,,,,,,,,,22763920,
MSI00071,434.1528,434.1528,0,[M]+,"N-(3-tert-butyl-4-hydroxyphenyl)-2,6-dichloro-4-(cyclohexylamino)benzamide",C23H28Cl2N2O2,434.1527835,,,,,,,,,,,,122189001,
MSI00072,650.1567,650.1480,14,[M+NH4]+,"UDP-N,N'-diacetylbacillosamine",C19H30N4O16P2,632.1132,,,,,,,C20357,,,,,,
MSI00075,308.1394,308.1386,3,[M]+,"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol",C16H16N6O,308.13855916,1092351-67-1,,CHEBI:90679,,,,,,,,,135565635,
MSI00076,159.1240,159.1259,12,[M]+,2-Aminooctanoic acid,C8H17NO2,159.125928785,644-90-6; 2187-07-7,,CHEBI:75145,,,HMDB0000991,,,,LMFA01100056,,69522,
MSI00077,592.1041,592.0950,16,[M+H]+,"UDP-2-acetamido-2,6-dideoxy-beta-L-glucose",C17H27N3O16P2,591.0867,,,,,,,C22260,,,,,,
MSI00079,461.0122,461.0130,2,[M+H]+,"4-[(1,1-Dioxido-1,2-benzothiazol-3-yl)(methyl)amino]phenyl 2,4-dichlorobenzoate",C21H14Cl2N2O4S,460.0051335,339011-82-4,,,,,,,,,,,1249481,
MSI00080,369.2403,369.2450,13,[M+K]+,5-Deoxystrigol,C19H22O5,330.1467,,,,,,,C18037,,,,,,
MSI00081,216.1454,216.1460,3,[M-H2O+NH4]+,N-Acetyl-L-arginine,C8H16N4O3,216.12224039,155-84-0,,CHEBI:40521,,DB01985,HMDB0004620,,,,,,67427,
MSI00083,371.1126,371.1130,1,[M+H-H2O]+,"(1'S,5'S)-5'-Hydroxyaverantin",C20H20O8,388.1158,,,,,,,C20500,,,,,,
MSI00084,751.2966,751.2966,0,[M+H]+,Lappaol H,C40H46O14,750.28875614,,,,,,,,,,,,24758070,
MSI00085,585.2925,585.2928,0,[M+H]+,hexadecanoyl-AMP(1-),C26H43N5O8P-,584.28492534,,,CHEBI:83627,,,,,,,,,86290189,
MSI00087,380.1372,380.1372,0,[M]+,"N-(3,4-dimethoxyphenyl)-7-methoxy-4,5-dihydrobenzo[g][1,2]benzoxazole-3-carboxamide",C21H20N2O5,380.13722174,,,CHEBI:107879,,,,,,,,,3241613,
MSI00089,397.3832,397.3830,1,[M+H-H2O]+,beta-Sitosterol,C29H50O,414.3862,,,,,,,C01753,,,,,,
MSI00090,203.2231,203.2236,2,[M+NH4]+,"N,N,N'-trimethyl-N'-piperidin-4-ylethane-1,2-diamine",C10H23N3,185.189197746,889940-14-1,,CHEBI:191151,,,,,,,,,551729,
MSI00091,958.1608,958.1621,1,[M+H-H2O]+,"2,2-dichloroacetic acid;(2Z,7Z,11Z)-17-ethoxy-7,12-bis(4-methylphenyl)-2,17-diphenyl-24-thia-20,23,25-triazapentacyclo[16.3.1.13,6.18,11.113,16]pentacosa-1(22),2,4,6(25),7,9,11,13,15,18,20-undecaene",C53H43Cl4N3O5S,975.164803,,,,,,,,,,,,11557069,
MSI00092,611.1974,611.1976,0,[M+H]+,"(2S)-5,4'-Dihydroxy-7,3'-dimethoxyflavanone 4'-apiosyl-(1->2)-glucoside",C28H34O15,610.18977037,,,CHEBI:185197,,,,,,,LMPK12140582,,42608079,
MSI00094,360.1500,360.1499,0,[M]+,Bay 41-2272,C20H17FN6,360.14987273,256376-24-6,,CHEBI:142435,,,,,,,,,9798973,
MSI00096,720.9622,720.9618,1,[M+NH4]+,"3,5-Dichloro-4-[2-(2,6-dichloro-4-hydroxyphenyl)-1,2-bis(ethylamino)ethyl]phenol;platinum(2+);dichloride",C18H20Cl6N2O2Pt,702.927438,,,,,,,,,,,,10462438,
MSI00097,357.0968,357.0970,0,[M]+,"2-[[4-Ethyl-5-(thiophen-2-ylmethyl)-1,2,4-triazol-3-yl]thio]-1-(4-methylphenyl)ethanone",C18H19N3OS2,357.09695459,,,CHEBI:114211,,,,,,,,,1941859,
MSI00098,419.0589,419.0589,0,[M+H]+,CID 27898868,C23H14O6S,418.05110934,,,,,,,,,,,,27898868,
MSI00099,424.1505,424.1522,4,[M]+,"7,8,3',4'-Tetramethoxy-6'',6''-dimethylpyrano[2'',3'':5,6]flavone",C24H24O7,424.1522031,,,CHEBI:187804,,,,,,,LMPK12111396,,44258614,
MSI00100,146.1652,146.1660,4,[M+H]+,Spermidine,C7H19N3,145.1579,,,,,,,C00315,,,,,,
MSI00101,623.2482,623.2482,0,[M+Na]+,Oxidized dinoflagellate luciferin(2-),C33H36N4O7-2,600.2583995,,,CHEBI:61708,,,,,,,,,51351712,
MSI00103,672.0371,672.0406,5,[M+H]+,"4-[3-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)prop-1-en-1-yl]-1-[3-(trimethylammonio)propyl]quinolinium diiodide",C26H31I2N3S,671.03281,,,CHEBI:52297,,,,,,,,,25229593,
MSI00104,876.1516,876.1501,2,[M+NH4]+,CID 11803701,C68H14N2,858.115698455,,,,,,,,,,,,11803701,
MSI00107,374.0621,374.0640,5,[M+Na]+,Pretetramid,C19H13NO6,351.0743,,,,,,,C18295,,,,,,
MSI00108,452.1818,452.1850,7,[M]+,3'-Demethylstaurosporine,C27H24N4O3,452.1848,,,,,,,C07349,,,,,,
MSI00110,409.0564,409.0500,15,[M]+,Glucotropaeolin,C14H19NO9S2,409.0501,,,,,,,C02153,,,,,,
MSI00111,839.0869,839.1000,16,[M]+,Oxalyl-CoA,C23H36N7O19P3S,839.1,,,,,,,C00313,,,,,,
MSI00112,313.0947,313.0950,1,[M]+,Avenanthramide E,C17H15NO5,313.09502258,93755-77-2,,CHEBI:174266,,,HMDB0029283,,,,,,10245047,
MSI00113,337.1182,337.1182,0,[M+H]+,Ser-Cys-Gln,C11H20N4O6S,336.11035554,,,CHEBI:162987,,,,,,,,,18709916,
MSI00115,477.9898,477.9907,2,[M]+,Indium tris(tropolonate),C21H15InO6,477.990742,14283-79-5,,,,,,,,,,,123928,
MSI00116,380.0959,380.0958,0,[M+Na]+,2-Methoxyacetaminophen glucuronide,C15H19NO9,357.10598118,53446-12-1,,CHEBI:133005,,,HMDB0240215,,,,,,121596203,
MSI00117,689.0142,689.0128,2,[M+H]+,"2-[3,5-Dibromo-4-[2-[(3-chloro-2-hydroxyphenyl)-(3-methylphenyl)methyl]-4-methoxy-5-propan-2-ylphenoxy]phenyl]acetic acid",C32H29Br2ClO5,688.00498,,,,,,,,,,,,10190177,
MSI00118,606.0821,606.0850,5,[M+H]+,GDP-mannose,C16H25N5O16P2,605.0772,,,,,,,C00096,,,,,,
MSI00119,293.1284,293.1295,4,[M]+,"(2R,3R)-1-(4-chlorophenyl)-4,4-dimethyl-2-(1,2,4-triazol-1-yl)pentan-3-ol",C15H20ClN3O,293.12949,76738-62-0; 82336-55-8,,CHEBI:139345,,,,,,,,,158076,Paclobutrazol
MSI00120,208.9724,208.9727,1,[M+NH4]+,1-Hydroxypyridine-2-thione zinc,C5H5NOSZn,190.938327,13463-41-7,,,,,,,,,,,56836326,
MSI00121,259.1805,259.1810,2,[M-H2O+NH4]+,2-Heptyl-3-hydroxy-quinolone,C16H21NO2,259.1572,,,,,,,C11848,,,,,,
MSI00123,166.0840,166.0841,1,[M]+,"Hexane-1,2,3,4,5-pentol",C6H14O5,166.08412354,13074-06-1; 5328-43-8; 18545-96-5,,CHEBI:165503,,,HMDB0041500,,,,LMFA05000598,,3429,
MSI00124,651.1542,651.1561,3,[M]+,Pelargonidin 3-O-[2-O-(beta-D-xylopyranosyl)-6-O-(malonyl)-bata-D-galactopyranoside],C29H31O17+,651.15612452,,,,,,,,,,LMPK12010014,,44256619,
MSI00126,438.1662,438.1700,8,[M+H-2H2O]+,OA-6129 B2,C20H31N3O8S,473.1832,,,,,,,C17374,,,,,,
MSI00127,461.0694,461.0693,0,[M]+,"2-[(5Z)-5-[(3-ethoxy-4-hydroxy-5-nitrophenyl)methylidene]-2,4-dioxo-1,3-thiazolidin-3-yl]-N-(2-fluorophenyl)acetamide",C20H16FN3O7S,461.06929919,,,CHEBI:105607,,,,,,,,,2243980,
MSI00128,393.0822,393.0822,0,[M]+,"2,5-Dimethoxy-4-[(2,3,4,5,6-pentafluorobenzyl)thio]benzeneethanamine",C17H16F5NO2S,393.08219074,,,,,,,,,,,,12063265,
MSI00129,809.1126,809.1260,16,[M]+,Acetyl-CoA,C23H38N7O17P3S,809.1258,,,,,,,C00024,,,,,,
MSI00132,336.1060,336.1059,0,[M]+,Molidustat sodium,C13H13N8NaO2,336.10591597,1375799-59-9,,,,,,,,,,,69669724,
MSI00133,731.1613,731.1612,0,[M+H]+,ent-Epicatechin-(4alpha->8)-ent-epicatechin 3-gallate,C37H30O16,730.15338487,,,CHEBI:186526,,,HMDB0037965,,,,,,12795889,
MSI00134,494.1560,494.1559,0,[M]+,"N-(3,4-dimethylphenyl)-2-[[5-[[(4,6-dimethyl-2-pyrimidinyl)thio]methyl]-4-(2-furanylmethyl)-1,2,4-triazol-3-yl]thio]acetamide",C24H26N6O2S2,494.15586644,,,CHEBI:120064,,,,,,,,,655941,
MSI00136,638.0130,638.0136,1,[M]+,"JAK2 Inhibitor III, SD-1029",C25H32Br2Cl2N2O3,638.01362,118372-34-2,,,,,,,,,,,44543754,
MSI00137,350.1134,350.1134,0,[M+H]+,Asn-Cys-Asn,C11H19N5O6S,349.10560452,,,CHEBI:159639,,,,,,,,,10193593,
MSI00138,380.1606,380.1609,1,[M]+,Disodium 2-sulphonatopalmitate,C16H30Na2O5S,380.16093379,5896-55-9,,,,,,,,,,,110731,
MSI00139,395.0407,395.0360,12,[M-H2O+NH4]+,Molybdopterin,C10H14N5O6PS2,395.0123,,,,,,,C05924,,,,,,
MSI00140,892.5356,892.5353,0,[M]+,CID 5748352,C55H72MgN4O5,892.5353131,1406-65-1,,,,,,,,,,,5748352,Chlorophyll
MSI00141,482.1560,482.1550,1,[M-H2O+NH4]+,"N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate",C18H23N6O8P,482.1315,,,,,,,C20562,,,,,,
MSI00142,648.1451,648.1430,3,[M+NH4]+,"GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose",C18H28N6O15P2,630.1088,,,,,,,C20672,,,,,,
MSI00143,155.0427,155.0430,4,[M+Na]+,3-Ureidopropionate,C4H8N2O3,132.0535,,,,,,,C02642,,,,,,
MSI00145,511.1463,511.1461,0,[M+Na]+,alpha-D-Galp-(1->4)-beta-D-Galp-O(CH2)2S(CH2)2CO2Me,C18H32O13S,488.15636224,87019-30-5,,CHEBI:63015,,,,,,,,,53477652,
MSI00146,474.2004,474.1910,20,[M+H]+,OA-6129 B1,C20H31N3O8S,473.1832,,,,,,,C17373,,,,,,
MSI00147,593.2753,593.2760,2,[M+H-2H2O]+,Primary fluorescent chlorophyll catabolite,C35H40N4O7,628.2897,,,,,,,C18098,,,,,,
MSI00148,959.1640,959.1580,7,[M]+,5-Hydroxyferuloyl-CoA,C31H44N7O20P3S,959.1575,,,,,,,C12203,,,,,,
MSI00149,397.2530,397.2529,0,[M]+,CID 33641018,C24H32FN3O,397.25294081,,,,,,,,,,,,33641018,
MSI00151,330.0725,330.0726,0,[M+H]+,"N'-[(1,3-benzodioxol-5-ylcarbonyl)oxy]-3-nitrobenzenecarboximidamide",C15H11N3O6,329.06478508,,,CHEBI:120680,,,,,,,,,9587495,
MSI00152,448.1506,448.1440,14,[M]+,Staphyloferrin B,C16H24N4O11,448.1442,,,,,,,C22075,,,,,,
MSI00153,450.1661,450.1679,4,[M]+,Artonin T,C26H26O7,450.16785316,161017-03-4,,CHEBI:176137,,,HMDB0029905,,,,LMPK12111523,,44258664,
MSI00155,726.9464,726.9414,7,[M+Na]+,CID 12093499,C31H31Co2FeO2PS2-,703.951632,,,,,,,,,,,,12093499,
MSI00158,331.2843,331.2848,2,[M+H]+,1-Hexadecanoyl-sn-glycerol,C19H38O4,330.27700969,32899-41-5; 26657-96-5,,CHEBI:75542,,,HMDB0011564,,,,LMGL01010009,,3084463,
MSI00159,609.1814,609.1819,1,[M]+,Peonidin 3-rhamnoside 5-glucoside,C28H33O15+,609.18194534,53859-11-3,,CHEBI:180729,,,HMDB0038090,,,,,,131752295,
MSI00160,612.2006,612.1977,5,[M]+,"[4-(2-Ethoxyphenyl)piperazin-1-yl]-[2-[[5-(3-methoxyphenyl)-4-phenyl-1,2,4-triazol-3-yl]sulfanylmethyl]-1,3-thiazol-4-yl]methanone",C32H32N6O3S2,612.19773125,,,,,,,,,,,,4310476,
MSI00162,303.0864,303.0870,2,[M+H-H2O]+,DHKred-OH,C16H16O7,320.0896,,,,,,,C18358,,,,,,
MSI00163,315.0863,315.0864,0,[M]+,"5-(5-isopropyl-3-thienyl)-4-(3-methylphenyl)-4H-1,2,4-triazole-3-thiol",C16H17N3S2,315.0863899,,,CHEBI:114488,,,,,,,,,843897,
MSI00164,405.1446,405.1455,2,[M]+,1-(4-Chlorophenyl)-5-[1-[(2-methylpropan-2-yl)oxy-oxomethyl]-4-piperidinyl]-4-pyrazolecarboxylic acid,C20H24ClN3O4,405.1455339,,,CHEBI:105289,,,,,,,,,3238899,
MSI00165,408.1918,408.1870,12,[M+NH4]+,Loganin,C17H26O10,390.1526,,,,,,,C01433,,,,,,
MSI00167,825.0890,825.0904,2,[M+H]+,CID 20606380,C27H26Cl2N14O9S2,824.0825662,,,,,,,,,,,,20606380,
MSI00169,423.0901,423.0900,1,[M+H]+,"alpha,alpha'-Trehalose 6-phosphate",C12H23O14P,422.0825,,,,,,,C00689,,,,,,
MSI00172,871.5721,871.5740,2,[M+H]+,Pheophytin a,C55H74N4O5,870.5659,,,,,,,C05797,,,,,,
MSI00173,476.1584,476.1670,18,[M+NH4]+,"5a,11a-Dehydrooxytetracycline",C22H22N2O9,458.1325,,,,,,,C18296,,,,,,
MSI00174,840.0889,840.0842,6,[M+Na]+,acryloyl-CoA(4-),C24H34N7O17P3S-4,817.09447481,,,CHEBI:167527,,,,,,,,,45266595,
MSI00175,360.1159,360.1230,20,[M+H]+,Penicillin N,C14H21N3O6S,359.1151,,,,,,,C06564,,,,,,
MSI00176,473.0064,473.0064,0,[M+H]+,"N-(3,5-dichlorophenyl)-2-[4-(2-phenylthiazol-4-yl)pyrimidin-2-yl]sulfanyl-acetamide",C21H14Cl2N4OS2,471.9986088,,,CHEBI:149851,,,,,,,,,2744814,
MSI00177,600.0574,600.0538,6,[M]+,Methyl 3-[2-[[1-(4-nitrophenyl)-5-(trifluoromethyl)pyrazole-4-carbonyl]amino]-4-(trifluoromethyl)phenoxy]thiophene-2-carboxylate,C24H14F6N4O6S,600.05382433,,,,,,,,,,,,2808786,
MSI00178,609.0813,609.0880,10,[M+NH4]+,trans-Zeatin riboside triphosphate,C15H24N5O14P3,591.0533,,,,,,,C16428,,,,,,
MSI00179,726.8976,726.8952,3,[M+NH4]+,"[2,7-dibromo-9-(2-carboxyphenyl)-6-hydroxy-3-oxo-3H-xanthen-5-yl](hydroxy)mercury",C20H11Br2HgO6,708.86083,129-16-8; 4386-92-9,,CHEBI:90221,,,,,,,,,413457,
MSI00180,778.2915,778.2922,1,[M+NH4]+,Korepimedoside A,C37H44O17,760.25784993,,,,,,,,,,,,10327790,
